category,drop,target,task,train_path,valid_path,test_path,model,gpu,cross_f,exp_id,train time (sec),logloss_val,logloss_test,log_path,nu,cross_type,opt_params,nn_model,auc_val,auc_test
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Credit_Mix_Payment_of_Min_Amount_Occupation_', 'Payment_of_Min_Amount_Occupation_Month_', 'Credit_Mix_Payment_Behaviour_Occupation_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[2, 4, 1], [4, 1, 0], [2, 3, 1]]",73484814078934160414,1.961730718612671,2.136474665195814,2.150059374513725,/dnn2lr/models/linear/output/73484814078934160414/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Occupation_Payment_Behaviour_Payment_of_Min_Amount_', 'Occupation_Month_Payment_Behaviour_', 'Credit_Mix_Month_Payment_Behaviour_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[1, 3, 4], [1, 0, 3], [2, 0, 3]]",13708237112769516358,1.864759922027588,2.1422761900935856,2.1553668276915947,/dnn2lr/models/linear/output/13708237112769516358/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Credit_Mix_Payment_of_Min_Amount_Month_', 'Occupation_Payment_Behaviour_Credit_Mix_', 'Payment_Behaviour_Payment_of_Min_Amount_Month_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[2, 4, 0], [1, 3, 2], [3, 4, 0]]",50697260614856750172,1.9682557582855225,2.1592028189769814,2.170748365454376,/dnn2lr/models/linear/output/50697260614856750172/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Month_Payment_Behaviour_Payment_of_Min_Amount_', 'Month_Payment_of_Min_Amount_Occupation_', 'Month_Payment_Behaviour_Occupation_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[0, 3, 4], [0, 4, 1], [0, 3, 1]]",87525701793256856194,1.964749097824097,2.13572747502476,2.147876468596359,/dnn2lr/models/linear/output/87525701793256856194/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Payment_of_Min_Amount_Payment_Behaviour_Credit_Mix_', 'Payment_of_Min_Amount_Occupation_Credit_Mix_', 'Payment_Behaviour_Occupation_Month_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[4, 3, 2], [4, 1, 2], [3, 1, 0]]",81668839601777628924,1.8968253135681152,2.1317905312670127,2.1434622215194006,/dnn2lr/models/linear/output/81668839601777628924/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Occupation_Month_Payment_of_Min_Amount_', 'Credit_Mix_Month_Payment_of_Min_Amount_', 'Occupation_Month_Payment_Behaviour_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[1, 0, 4], [2, 0, 4], [1, 0, 3]]",09288381246806233065,1.7914390563964844,2.1565894985944034,2.1690725660547616,/dnn2lr/models/linear/output/09288381246806233065/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Payment_of_Min_Amount_Credit_Mix_Month_', 'Payment_of_Min_Amount_Payment_Behaviour_Occupation_', 'Payment_Behaviour_Credit_Mix_Month_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[4, 2, 0], [4, 3, 1], [3, 2, 0]]",52377085561814041242,1.9922990798950195,2.169510540318276,2.181559731585284,/dnn2lr/models/linear/output/52377085561814041242/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Payment_of_Min_Amount_Occupation_Month_', 'Payment_of_Min_Amount_Credit_Mix_Month_', 'Payment_of_Min_Amount_Payment_Behaviour_Credit_Mix_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[4, 1, 0], [4, 2, 0], [4, 3, 2]]",98726734499530072308,1.80238938331604,2.1612316708905355,2.172573285664121,/dnn2lr/models/linear/output/98726734499530072308/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Credit_Mix_Payment_of_Min_Amount_Occupation_', 'Month_Payment_Behaviour_Occupation_', 'Month_Payment_Behaviour_Payment_of_Min_Amount_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[2, 4, 1], [0, 3, 1], [0, 3, 4]]",63095750549356686455,1.913917064666748,2.1335726928870598,2.145433540565272,/dnn2lr/models/linear/output/63095750549356686455/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Payment_of_Min_Amount_Occupation_Credit_Mix_', 'Payment_of_Min_Amount_Month_Credit_Mix_', 'Payment_of_Min_Amount_Occupation_Payment_Behaviour_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[4, 1, 2], [4, 0, 2], [4, 1, 3]]",47077448381615041310,1.8956313133239744,2.157253217159637,2.1692170686374106,/dnn2lr/models/linear/output/47077448381615041310/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Payment_of_Min_Amount_Month_Occupation_', 'Payment_of_Min_Amount_Month_Payment_Behaviour_', 'Month_Payment_Behaviour_Occupation_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[4, 0, 1], [4, 0, 3], [0, 3, 1]]",25879464504639040832,1.7479126453399658,2.133297849010144,2.1454522690176963,/dnn2lr/models/linear/output/25879464504639040832/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Occupation_Credit_Mix_', 'Month_Occupation_Credit_Mix_Payment_Behaviour_Payment_of_Min_Amount_', 'Month_Credit_Mix_Payment_Behaviour_Payment_of_Min_Amount_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[1, 2], [0, 1, 2, 3, 4], [0, 2, 3, 4]]",82143848955182611848,2.0491175651550293,2.2222435158757228,2.2334895957633853,/dnn2lr/models/linear/output/82143848955182611848/log.pickle,0.5,dnn2lr,"{'lr': 0.001, 'weight_decay': 0}",dense,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Occupation_Credit_Mix_', 'Occupation_Payment_of_Min_Amount_', 'Month_Occupation_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[1, 2], [1, 4], [0, 1]]",62099331322726820455,2.093193769454956,2.217170947308519,2.229326532735179,/dnn2lr/models/linear/output/62099331322726820455/log.pickle,0.1,dnn2lr,"{'lr': 0.001, 'weight_decay': 0}",dense,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Occupation_Credit_Mix_', 'Occupation_Payment_of_Min_Amount_', 'Month_Occupation_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[1, 2], [1, 4], [0, 1]]",59215012450411370047,2.045063018798828,2.217655140683055,2.2297604411964613,/dnn2lr/models/linear/output/59215012450411370047/log.pickle,0.05,dnn2lr,"{'lr': 0.001, 'weight_decay': 0}",dense,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Occupation_Payment_of_Min_Amount_', 'Occupation_Credit_Mix_', 'Month_Occupation_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[1, 4], [1, 2], [0, 1]]",71923115334408692416,1.941680192947388,2.2184652592587684,2.230802170806875,/dnn2lr/models/linear/output/71923115334408692416/log.pickle,0.01,dnn2lr,"{'lr': 0.001, 'weight_decay': 0}",dense,,
